No.,Entidad,Organo,Grupo,Emisora,IdEmisora,Fecha de transmisión del material,Hora transmisión,Folio,Versión,Actor,Notificado,Oficio
888,TAMAULIPAS,DATERT,IMAGEN,XHCTTA-TDT-CANAL25.2,4826,31/10/2023,22:40:21,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
889,VERACRUZ,JDE30-10,GOBIERNO DEL ESTADO DE VERACRUZ,XHOBA-FM-105.5,1626,16/10/2023,07:19:30,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JDE30-10_0024_2023
890,VERACRUZ,JDE30-10,GOBIERNO DEL ESTADO DE VERACRUZ,XHOTE-FM-95.7,1629,16/10/2023,07:19:34,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JDE30-10_0024_2023
891,VERACRUZ,JDE30-10,GOBIERNO DEL ESTADO DE VERACRUZ,XHTAN-FM-101.3,1628,16/10/2023,07:19:20,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JDE30-10_0024_2023
892,VERACRUZ,JDE30-10,GOBIERNO DEL ESTADO DE VERACRUZ,XHXAL-FM-107.7,1625,16/10/2023,07:19:36,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JDE30-10_0024_2023
893,VERACRUZ,JDE30-10,GOBIERNO DEL ESTADO DE VERACRUZ,XHZUL-FM-106.5,1627,16/10/2023,07:18:36,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JDE30-10_0024_2023
894,VERACRUZ,DATERT,TV AZTECA,XHBE-TDT-CANAL36,3418,16/10/2023,14:47:00,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
895,VERACRUZ,JDE30-05,MARCOS LÓPEZ ZAMORA,XHRIC-FM-101.9,1618,17/10/2023,20:00:22,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JDE30-05_0018_2023
896,VERACRUZ,DATERT,"TRANSMISORA REGIONAL RADIO FÓRMULA, XHEOM",XHEOM-FM-98.5,3009,18/10/2023,09:21:24,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6622_2023
897,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,20/10/2023,15:36:17,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6474_2023
898,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,20/10/2023,21:48:44,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6474_2023
899,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,21/10/2023,08:39:58,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6474_2023
900,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,21/10/2023,15:50:41,RV00549-23,JALISCO FUTURO NARANJA,MC,Sí,INE_DEPPP_DATERT_6474_2023
901,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,21/10/2023,21:50:07,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6474_2023
902,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,21/10/2023,23:37:11,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6474_2023
903,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,22/10/2023,23:28:47,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6474_2023
904,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,23/10/2023,08:25:20,RV00584-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6474_2023
905,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,23/10/2023,16:25:08,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6474_2023
906,VERACRUZ,DATERT,"TRANSMISORA REGIONAL RADIO FÓRMULA, XHEOM",XHEOM-FM-98.5,3009,23/10/2023,22:12:30,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6622_2023
907,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,23/10/2023,22:26:46,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6474_2023
908,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,24/10/2023,08:25:19,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6474_2023
909,VERACRUZ,DATERT,RADIO CAÑÓN VERACRUZ,XHEVC-FM-104.5,2505,24/10/2023,09:45:05,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6575_2023
910,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,24/10/2023,13:30:30,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6474_2023
911,VERACRUZ,DATERT,TELSUSA DATE,XHTMVE-TDT-CANAL19,5184,24/10/2023,15:29:00,RV00177-23,TRANSFORMANDO TABASCO V3,PT,Sí,INE_DEPPP_DATERT_6474_2023
912,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHAFA-FM-99.3,2495,25/10/2023,07:30:13,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6594_2023
913,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHGB-FM-103.5,2496,25/10/2023,07:33:19,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6594_2023
914,VERACRUZ,DATERT,STEREOREY VER,XHPS-FM-93.3,1622,25/10/2023,08:34:38,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6669_2023
915,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHAFA-FM-99.3,2495,25/10/2023,09:27:34,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6594_2023
916,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHGB-FM-103.5,2496,25/10/2023,09:28:51,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6594_2023
917,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHAFA-FM-99.3,2495,25/10/2023,12:28:15,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6594_2023
918,VERACRUZ,DATERT,"RADIODIFUSORA, JUAN JOSÉ SOLÍS OLEA",XHGB-FM-103.5,2496,25/10/2023,12:30:00,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6594_2023
