No.,Entidad,Organo,Grupo,Emisora,IdEmisora,Fecha de transmisión del material,Hora transmisión,Folio,Versión,Actor,Notificado,Oficio
1,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,17/10/2023,22:40:46,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
2,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,18/10/2023,22:40:14,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
3,AGUASCALIENTES,DATERT,DIONICIO FLORES CUELLAR,XHDC-FM-104.5,2537,20/10/2023,14:33:51,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6506_2023
4,AGUASCALIENTES,DATERT,TV AZTECA,XHJCM-TDT-CANAL30,3108,20/10/2023,21:05:15,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
5,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,20/10/2023,22:39:04,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
6,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,23/10/2023,21:34:30,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
7,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,30/10/2023,22:39:11,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
8,AGUASCALIENTES,DATERT,IMAGEN,XHCTAG-TDT-CANAL18.2,4825,31/10/2023,22:40:20,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
9,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,16/10/2023,07:23:00,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_DATERT_6513_2023
10,BAJA CALIFORNIA,DATERT,MARIO VALDÉZ HERNÁNDEZ,XEABCA-AM-820,105,16/10/2023,16:37:00,RA00644-23,DESARROLLO ECONÓMICO NL MCN,MC,Sí,INE_DEPPP_DATERT_6543_2023
11,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,16/10/2023,16:22:55,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6513_2023
12,BAJA CALIFORNIA,DATERT,MARIO VALDÉZ HERNÁNDEZ,XHABCA-FM-101.3,5053,16/10/2023,16:36:11,RA00644-23,DESARROLLO ECONÓMICO NL MCN,MC,Sí,INE_DEPPP_DATERT_6543_2023
13,BAJA CALIFORNIA,DATERT,STEREOREY BC 3,XHADA-FM-104.1,82,17/10/2023,06:47:22,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6680_2023
14,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,17/10/2023,16:22:30,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6513_2023
15,BAJA CALIFORNIA,DATERT,IMAGEN,XHCTME-TDT-CANAL17.2,4827,17/10/2023,22:42:23,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
16,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20.2,4108,17/10/2023,22:18:06,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6666_2023
17,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20.2,4108,18/10/2023,06:17:59,RV00565-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6666_2023
18,BAJA CALIFORNIA,DATERT,"CARLOS ALBERTO VELÁZQUEZ LÓPEZ, MEXICALI",XHBJ-TDT-CANAL27,3076,18/10/2023,14:21:19,RV00552-23,OBRA SOCIAL MCNL V3,MC,Sí,INE_DEPPP_DATERT_6664_2023
19,BAJA CALIFORNIA,DATERT,TV AZTECA,XHTIT-TDT-CANAL29,3075,18/10/2023,21:18:55,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
20,BAJA CALIFORNIA,DATERT,STEREOREY BC 3,XHADA-FM-104.1,82,19/10/2023,06:41:23,RA00544-23,ALEGRÍA MCN,MC,Sí,INE_DEPPP_DATERT_6680_2023
21,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,19/10/2023,07:24:30,RA00616-23,PARTIDO ENCUENTRO SOLIDARIO BC,PES,Sí,INE_DEPPP_DATERT_6513_2023
22,BAJA CALIFORNIA,DATERT,"CARLOS ALBERTO VELÁZQUEZ LÓPEZ, MEXICALI",XHBJ-TDT-CANAL27,3076,19/10/2023,13:21:44,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6664_2023
23,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20,3037,19/10/2023,13:27:36,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6666_2023
24,BAJA CALIFORNIA,DATERT,TELEVISA,XHUAA-TDT-CANAL22,3071,19/10/2023,14:19:35,RV00565-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6466_2023
25,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,19/10/2023,16:22:30,RA00620-23,JALISCO FUTURO NARANJA,MC,Sí,INE_DEPPP_DATERT_6513_2023
26,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20,3037,19/10/2023,21:17:47,RV00565-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6666_2023
27,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20.2,4108,20/10/2023,06:27:46,RV00549-23,JALISCO FUTURO NARANJA,MC,Sí,INE_DEPPP_DATERT_6666_2023
28,BAJA CALIFORNIA,DATERT,TV AZTECA,XHJK-TDT-CANAL28,3074,20/10/2023,20:52:29,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6674_2023
29,BAJA CALIFORNIA,DATERT,TV AZTECA,XHJK-TDT-CANAL28,3074,20/10/2023,21:05:44,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,MC,Sí,INE_DEPPP_DATERT_6674_2023
30,BAJA CALIFORNIA,DATERT,IMAGEN,XHCTME-TDT-CANAL17.2,4827,20/10/2023,22:39:45,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
31,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20.2,4108,21/10/2023,06:16:02,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6666_2023
32,BAJA CALIFORNIA,DATERT,TV AZTECA,XHJK-TDT-CANAL28,3074,21/10/2023,07:44:20,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6674_2023
33,BAJA CALIFORNIA,DATERT,FERNANDO PADILLA RIVAS,XHOCL-FM-99.3,131,21/10/2023,08:17:21,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6662_2023
34,BAJA CALIFORNIA,DATERT,TV AZTECA,XHJK-TDT-CANAL28,3074,21/10/2023,10:03:52,RV00546-23,PROMOPESBC1,PES,Sí,INE_DEPPP_DATERT_6674_2023
35,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25,3168,21/10/2023,13:10:22,RV00610-23,LOGROS MONTERREY MCNL,MC,Sí,INE_DEPPP_DATERT_6674_2023
36,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25.2,4525,21/10/2023,13:28:13,RV00610-23,LOGROS MONTERREY MCNL,MC,Sí,INE_DEPPP_DATERT_6674_2023
37,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25,3168,21/10/2023,19:09:22,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6674_2023
38,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25.2,4525,21/10/2023,19:09:48,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6674_2023
39,BAJA CALIFORNIA,DATERT,TV AZTECA,XHAQ-TDT-CANAL28,3157,21/10/2023,21:16:19,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,MC,Sí,INE_DEPPP_DATERT_6674_2023
40,BAJA CALIFORNIA,DATERT,TV AZTECA,XHENE-TDT-CANAL16,3148,21/10/2023,21:16:41,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,MC,Sí,INE_DEPPP_DATERT_6674_2023
41,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25,3168,21/10/2023,21:41:30,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
42,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25.2,4525,21/10/2023,21:24:19,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
43,BAJA CALIFORNIA,DATERT,TV AZTECA,XHJK-TDT-CANAL28,3074,21/10/2023,21:16:41,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,MC,Sí,INE_DEPPP_DATERT_6674_2023
44,BAJA CALIFORNIA,DATERT,MARIO VALDÉZ HERNÁNDEZ,XEMMM-AM-940,111,22/10/2023,08:23:28,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6543_2023
45,BAJA CALIFORNIA,DATERT,TV AZTECA,XHENE-TDT-CANAL16,3148,22/10/2023,09:59:40,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6674_2023
46,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20,3037,22/10/2023,11:23:40,RV00546-23,PROMOPESBC1,PES,Sí,INE_DEPPP_DATERT_6666_2023
47,BAJA CALIFORNIA,DATERT,ROMMEL ARVIZU RASHID,XHFZO-FM-92.9,90,23/10/2023,08:15:38,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6556_2023
48,BAJA CALIFORNIA,DATERT,TV AZTECA,XHTIT-TDT-CANAL29,3075,23/10/2023,08:21:50,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
49,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,23/10/2023,13:22:22,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6513_2023
50,BAJA CALIFORNIA,DATERT,STEREOREY BC 1,XEMX-AM-1120,112,25/10/2023,07:34:21,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6681_2023
51,BAJA CALIFORNIA,DATERT,MARGARITA PONCE DÍAZ,XHAS-TDT-CANAL34,3073,25/10/2023,22:09:01,RV00584-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6660_2023
52,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,26/10/2023,13:23:04,RA00623-23,OBRA SOCIAL MCNL V3,MC,Sí,INE_DEPPP_DATERT_6513_2023
53,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20.2,4108,28/10/2023,06:03:20,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6666_2023
54,BAJA CALIFORNIA,DATERT,MARIO VALDÉZ HERNÁNDEZ,XEMMM-AM-940,111,28/10/2023,08:05:22,RA00619-23,JALISCO DERECHO A LA ALEGRÍA,MC,Sí,INE_DEPPP_DATERT_6543_2023
55,BAJA CALIFORNIA,DATERT,ALBERTO RUÍZ DE ANDA,XHMMF-FM-92.3,98,28/10/2023,21:56:45,RA00860-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6491_2023
56,BAJA CALIFORNIA,DATERT,ALBERTO RUÍZ DE ANDA,XHMMF-FM-92.3,98,28/10/2023,22:13:14,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6491_2023
57,BAJA CALIFORNIA,DATERT,ARNOLDO CABADA ALVIDREZ,XHILA-TDT-CANAL20.2,4108,29/10/2023,10:29:19,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6666_2023
58,BAJA CALIFORNIA,DATERT,TV AZTECA,XHENT-TDT-CANAL20,3152,30/10/2023,06:20:04,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6674_2023
59,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,30/10/2023,07:23:30,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6513_2023
60,BAJA CALIFORNIA,DATERT,MARCELA ALVAREZ RUIZ (MEXICALI),XERM-AM-1150,113,30/10/2023,07:23:28,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6620_2023
61,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,30/10/2023,14:21:14,RA00616-23,PARTIDO ENCUENTRO SOLIDARIO BC,PES,Sí,INE_DEPPP_DATERT_6513_2023
62,BAJA CALIFORNIA,DATERT,IMAGEN,XHCTME-TDT-CANAL17.2,4827,30/10/2023,21:39:14,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
63,BAJA CALIFORNIA,DATERT,ALBERTO RUÍZ DE ANDA,XEAO-AM-910,106,31/10/2023,09:40:27,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6491_2023
64,BAJA CALIFORNIA,DATERT,HÉCTOR DE ISLA PUGA DURÁN,XEPE-AM-1700,92,31/10/2023,14:21:20,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6513_2023
65,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25,3168,31/10/2023,19:14:01,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
66,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25.2,4525,31/10/2023,19:21:35,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
67,BAJA CALIFORNIA,DATERT,TV AZTECA,XHEXT-TDT-CANAL25.2,4525,31/10/2023,21:06:28,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6674_2023
68,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,17/10/2023,22:40:01,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
69,BAJA CALIFORNIA SUR,DATERT,TELEVISA,XHSJT-TDT-CANAL27,3832,18/10/2023,09:21:44,RV00565-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_DATERT_6466_2023
70,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,18/10/2023,22:40:23,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
71,BAJA CALIFORNIA SUR,DATERT,DAVID CHESMAN VALDOVINOS PLATA,XHESJC-FM-93.1,2430,20/10/2023,10:39:19,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6504_2023
72,BAJA CALIFORNIA SUR,DATERT,DAVID CHESMAN VALDOVINOS PLATA,XHHZ-FM-105.5,2417,20/10/2023,10:31:24,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6504_2023
73,BAJA CALIFORNIA SUR,DATERT,DAVID CHESMAN VALDOVINOS PLATA,XHPAZ-FM-96.7,168,20/10/2023,10:38:51,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6504_2023
74,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,24/10/2023,12:18:52,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
75,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,24/10/2023,12:16:49,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
76,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,24/10/2023,14:43:33,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
77,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,24/10/2023,14:08:04,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
78,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,24/10/2023,20:41:21,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
79,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,24/10/2023,20:18:16,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
80,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,25/10/2023,07:39:39,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6673_2023
81,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,25/10/2023,07:03:13,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6673_2023
82,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,25/10/2023,12:17:01,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
83,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,25/10/2023,12:16:15,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
84,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,25/10/2023,14:21:04,RV00584-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
85,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,25/10/2023,14:08:15,RV00584-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
86,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,25/10/2023,20:42:49,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
87,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,25/10/2023,20:09:15,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
88,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,26/10/2023,07:46:01,RV00552-23,OBRA SOCIAL MCNL V3,MC,Sí,INE_DEPPP_DATERT_6673_2023
89,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,26/10/2023,07:03:14,RV00552-23,OBRA SOCIAL MCNL V3,MC,Sí,INE_DEPPP_DATERT_6673_2023
90,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,26/10/2023,12:21:46,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6673_2023
91,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,26/10/2023,12:16:15,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6673_2023
92,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,26/10/2023,14:20:56,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
93,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,26/10/2023,14:08:15,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
94,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,26/10/2023,20:43:11,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
95,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,26/10/2023,20:15:16,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
96,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,27/10/2023,07:45:36,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
97,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,27/10/2023,12:04:15,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
98,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,27/10/2023,12:15:13,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
99,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,27/10/2023,14:42:09,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6673_2023
100,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,27/10/2023,14:07:14,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6673_2023
101,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,27/10/2023,20:21:22,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
102,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,27/10/2023,20:17:14,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
103,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,28/10/2023,07:04:11,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
104,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,28/10/2023,07:28:26,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
105,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,28/10/2023,14:07:46,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
106,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,28/10/2023,14:11:37,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
107,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,28/10/2023,20:33:08,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6673_2023
108,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,28/10/2023,20:28:45,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6673_2023
109,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,29/10/2023,12:29:52,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
110,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,29/10/2023,19:58:46,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
111,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,30/10/2023,13:36:28,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
112,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,30/10/2023,13:12:14,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
113,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,30/10/2023,19:07:50,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
114,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,30/10/2023,19:15:15,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
115,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,31/10/2023,13:36:48,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
116,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,31/10/2023,13:12:43,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
117,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,31/10/2023,19:34:31,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
118,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,31/10/2023,19:15:42,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
119,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22,4306,31/10/2023,21:13:24,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
120,BAJA CALIFORNIA SUR,DATERT,IMAGEN,XHCTLP-TDT-CANAL22.2,5405,31/10/2023,21:40:42,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
